USA-STL,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,3,2,0,0,4,0,64,0,0,0,0,23,64,64,0,25,0,0,6,22,57,0,0,56,0,0,0,4,0,0,0,5
USA-CLE,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,17,0,0,0,5,18,0,0,17,0,21,0,0,0,0,11,21,21,0,65,0,0,28,23,99,0,56,0,0,0,0,24,0,0,0,20
USA-LIN,78,0,64,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA-SLT,0,12,0,2,0,0,13,0,0,0,2,1,10,4,3,26,0,0,0,75,0,0,0,0,0,3,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
USA-BOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA-SAN,0,0,1,0,2,0,0,10,1,0,1,20,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,5,0,0,0,0,24,0,0,73,6,24,0,4,24,0,0,0,0,0,0,0,2
USA-LIT,0,0,0,11,16,52,0,0,0,100,0,0,0,0,0,0,0,0,0,0,54,0,0,86,0,5,0,44,90,0,0,0,0,0,1,0,0,86,1,48,0,0,0,0,0,0,0,0,0,0,44,0
USA-NEO,0,0,0,47,0,0,2,0,0,0,0,1,0,0,1,0,2,0,0,39,7,1,0,0,3,14,11,0,0,0,0,0,14,11,22,0,0,0,0,0,0,4,0,0,0,50,0,0,0,0,0,8
USA-LEK,0,0,0,45,53,92,0,0,0,44,0,0,0,0,0,0,0,0,0,0,26,0,0,30,0,46,0,100,34,0,0,0,0,0,4,0,0,30,0,13,0,0,0,0,0,0,0,0,44,0,0,0
USA-NAS,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,90,0,0,0,46,89,0,0,91,5,0,0,0,2,0,0,0,0,0,18,0,0,0,1,21,0,5,20,0,0,0,2,0,8,0,0
